Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
JCI,931,355,108,246,-0.552,1.1676812,12.411764,0.68,-0.19399726,28.5,Industrials,2020-05-01,{"period":"0m","strongBuy":3,"buy":6,"hold":10,"sell":0,"strongSell":0}
FOX,931,5,137,432,36.5,1.5496868,11.161702,2.72,-0.2956499,25.13,Communication Services,undefined,{"period":"0m","strongBuy":1,"buy":1,"hold":1,"sell":0,"strongSell":0}
GOOG,935,138,307,46,0.193,4.384916,22.224627,1.68,0.027553558,1263.47,Communication Services,undefined,{"period":"0m","strongBuy":2,"buy":3,"hold":0,"sell":0,"strongSell":0}
AVGO,938,291,305,76,-0.183,4.3534784,11.180824,0.97,-0.15593648,258.29,Technology,2019-12-05,{"period":"0m","strongBuy":10,"buy":17,"hold":2,"sell":0,"strongSell":0}
BK,942,208,72,363,0.036,0.88042766,10.271977,1.67,-0.22411287,36.14,Financial Services,2020-07-15,{"period":"0m","strongBuy":1,"buy":5,"hold":12,"sell":2,"strongSell":0}
AMAT,943,150,344,23,0.157,5.641569,12.229885,0.72,0.21488929,52.23,Technology,2020-05-14,{"period":"0m","strongBuy":5,"buy":15,"hold":1,"sell":0,"strongSell":0}
UHS,950,83,157,425,0.551,1.6980151,9.316336,0.93,-0.12294549,101.67,Healthcare,2020-04-27,{"period":"0m","strongBuy":3,"buy":8,"hold":5,"sell":0,"strongSell":0}
SIVB,952,227,133,366,-0.013,1.4635893,10.808339,1.35,-0.2842543,161.36,Financial Services,2020-01-23,{"period":"0m","strongBuy":6,"buy":9,"hold":4,"sell":0,"strongSell":0}
SNA,959,230,170,365,-0.025,1.8969221,10.669973,1.09,-0.29736954,110.79,Industrials,2020-04-21,{"period":"0m","strongBuy":5,"buy":2,"hold":2,"sell":0,"strongSell":0}
CTSH,963,334,232,83,-0.39,2.675384,12.966265,1.9,-0.24720204,51.47,Technology,2020-05-07,{"period":"0m","strongBuy":10,"buy":14,"hold":9,"sell":0,"strongSell":0}
TXT,963,294,105,355,-0.191,1.14641,8.210059,1.91,-0.48534864,24.73,Industrials,2020-04-30,{"period":"0m","strongBuy":4,"buy":5,"hold":4,"sell":2,"strongSell":0}
FLIR,975,390,218,205,-0.983,2.4524238,14.594018,0.75,-0.31480736,33.69,Technology,2020-04-22,{"period":"0m","strongBuy":2,"buy":4,"hold":4,"sell":0,"strongSell":0}
LEG,980,74,244,249,0.638,2.9023507,13.252293,3.84,-0.32563025,26.76,Consumer Cyclical,2020-05-04,{"period":"0m","strongBuy":1,"buy":4,"hold":3,"sell":0,"strongSell":0}
DOV,982,143,298,137,0.188,4.2106013,14.772955,1.83,-0.0815776,84.15,Industrials,2020-04-21,{"period":"0m","strongBuy":2,"buy":4,"hold":12,"sell":0,"strongSell":0}
DUK,984,95,134,145,0.453,1.4721981,16.501831,4.08,0.015439987,87.59,Utilities,2020-05-12,{"period":"0m","strongBuy":1,"buy":2,"hold":12,"sell":1,"strongSell":1}
